ad_spend,store_visits,discount,competitor_price,season_index,sales
2185.430535,227.1359841,11.20922455,499.8021462,1.229998311,4135.332429
4778.214379,263.0460467,9.987362887,648.0480635,0.684511996,7924.612559
3793.972738,434.5463269,5.284617375,537.6000684,0.846639694,7067.983864
3193.963179,203.0019737,18.2180001,249.9815499,1.163280637,5449.055639
1202.083882,441.3423582,14.29872482,311.3481421,0.982089345,3280.220359
1201.975342,89.66049394,25.97102977,331.5969104,1.238571039,1360.860774
761.3762548,399.5592967,0.963287414,354.7185522,1.461207901,2707.602307
4397.792656,431.3964349,19.31603783,539.2420352,0.616546688,8081.736505
3205.017553,131.8179438,22.88846636,502.3794679,1.209567716,4877.631818
3686.3266,243.6559396,22.78459708,321.896023,0.730344156,6735.203106
592.6302243,124.4748986,26.58221901,240.5329061,0.914476727,822.1288078
4864.594335,367.971858,21.87101228,302.8593227,0.532862726,8784.836429
4245.991884,290.9064956,27.83430185,790.6287876,0.635907382,6984.40626
1455.525998,335.895506,9.979697995,481.1281699,0.819777289,3090.148413
1318.212352,138.4191351,15.0962825,720.4073028,0.841985805,1995.835646
1325.320294,145.2856379,0.422389898,709.25148,1.399585216,2672.13596
1869.090093,68.67379648,0.208727619,506.9117345,1.241812909,2857.476825
2861.403942,194.9303908,7.203798614,624.0126251,1.472182968,4838.245405
2443.752584,301.8850976,3.024215914,315.6512062,1.09907151,4561.608504
1810.531131,436.0707113,7.806341038,613.038023,0.741713732,5326.920124
3253.338026,350.1173514,5.311298836,363.4307476,0.82765503,5979.111125
1127.722373,245.9283455,0.855600745,699.2372581,0.819835923,1535.784461
1814.650918,478.9040515,27.27912439,250.2344799,0.826494328,5090.139754
2148.628295,373.6603403,0.246693942,663.8832037,1.172964173,4523.721405
2552.314929,468.5743413,22.08246433,259.9621439,1.030807928,5611.64499
4033.291826,287.414588,4.564436608,728.7135421,0.885424178,6603.327073
1398.53202,166.5069237,27.36688866,382.5227109,0.649089769,3299.4847
2814.054973,73.77200886,26.78387819,592.6360189,0.522139163,4035.732829
3165.86556,376.7381832,19.61703439,492.5013672,0.718834678,6331.570122
709.0268572,104.5863491,20.16702449,419.7818872,0.607471404,1142.433517
3233.951834,186.2488077,0.160174259,587.2650999,1.285445031,5471.491674
1267.358557,289.6119085,29.54614698,768.5137883,0.612497958,3150.387142
792.7321684,303.9874645,26.33497811,224.7618484,1.224228237,2164.933549
4769.984918,320.2624386,26.85318677,751.3117135,0.88565869,7175.952732
4845.344149,124.8148987,19.77733611,565.448993,0.57337839,7687.453056
4137.788067,220.8818322,10.34360786,684.3885805,1.312730049,6934.749725
1870.761961,327.7374022,26.80945947,430.3249721,1.07963057,3908.057898
939.524513,486.4184891,8.745507845,483.1057849,0.735761513,3617.53136
3579.048619,377.434012,16.8813463,721.3104511,1.394681174,6352.402678
2480.686222,465.1716907,2.99192917,448.9087819,0.545258314,5679.092927
1049.172057,392.9954262,27.6586689,520.79574,0.701819608,2793.698201
2728.296096,316.272636,4.223113733,212.1169539,1.252046928,5191.179433
654.748345,136.4105161,6.746904172,295.1588035,1.20937793,1979.352964
4591.941809,350.0085434,16.74402474,585.0119048,0.789271694,7312.16178
1664.509917,330.5208047,22.92279001,630.1861406,0.562024875,4607.67367
3481.35028,321.1111267,18.58053918,549.5605621,1.358078072,6667.969878
1902.699842,270.4036406,6.964017384,285.9860218,0.813697638,3034.925161
2840.306095,287.8954718,0.028291276,467.2432571,0.695713415,5227.690087
